BioWare Version 5.3.2.9 Export,,,
Device:,Force Plate 2 9281CA (SN>616901),Force Plate 2 9281CA (SN>616901),Force Plate 2 9281CA (SN>616901)
Samples (#):,9563,9563,9563
Rate (Hz):,1000,1000,1000
Contact period start (sample #):,0,0,0
Contact period end (sample #):,9551,9551,9551
Contact period start time (s):,0,0,0
Contact period end time (s):,9.551,9.551,9.551
First sample time (s):,0,0,0
Normalized force (N):,800,800,800
Normalized length (m):,1,1,1
File Information,,,
Date,"Jun 20, 2019  10:27:20",,
Name,,,
ID,,,
Classification,,,
Description,,,
abs time (s),Fx,Fy,Fz
,N,N,N
0.184,8.900062,33.00532,472.941513
0.185,9.061999,33.246699,466.775696
0.186,9.102004,33.689081,461.09053
0.187,9.585899,33.729902,456.66346
0.188,9.868235,33.77028,450.664635
0.189,9.586283,34.413218,446.092072
0.19,9.666804,34.414105,440.405052
0.191,10.029789,34.816553,435.197327
0.192,10.19096,35.138245,429.033516
0.193,10.271865,35.461267,424.76577
0.194,10.473296,35.622779,421.452126
0.195,10.352514,36.106425,416.559212
0.196,10.594589,36.306094,411.347427
0.197,10.271865,36.226228,406.935417
0.198,10.271865,36.429005,402.675331
0.199,10.352898,36.230221,397.464333
0.2,10.433035,36.108644,394.946434
0.201,9.989912,35.670258,389.099983
0.202,10.111078,35.390277,385.795105
0.203,10.191599,34.426978,381.373428
0.204,10.030428,33.906503,378.225494
0.205,10.151339,32.86378,374.437149
0.206,10.111205,32.064657,370.970627
0.207,10.030301,30.980669,367.504669
0.208,9.747965,30.019145,364.822227
0.209,9.869258,29.375762,361.988251
0.21,9.868875,28.252728,357.411926
0.211,9.546405,27.492207,354.734558
0.212,9.627438,26.448153,351.741264
0.213,9.223808,25.687186,348.27494
0.214,9.062383,25.207534,345.11998
0.215,9.143032,24.684398,342.125542
0.216,8.941601,24.124434,340.555092
0.217,8.699526,23.603072,337.077438
0.218,8.780303,23.04222,334.254585
0.219,8.821074,22.842995,332.831474
0.22,8.821074,22.843438,331.893692
0.221,8.578871,22.483588,328.266579
0.222,8.78107,22.20405,326.063271
0.223,9.143543,22.084249,324.799217
0.224,9.264837,21.682244,323.702362
0.225,9.184315,21.563774,320.87014
0.226,9.143799,21.405813,319.608604
0.227,9.426263,20.963876,318.985107
0.228,9.426135,20.603139,318.523964
0.229,9.305097,20.282779,317.104279
0.23,9.426518,19.96375,316.005428
0.231,9.466652,19.681993,316.639568
0.232,9.346253,19.041273,316.491901
0.233,9.26522,18.760848,315.243977
0.234,9.184955,18.440044,312.875813
0.235,9.144311,17.919126,315.567776
0.236,9.265348,17.519786,315.102833
0.237,9.184571,17.117783,315.734745
0.238,9.063917,16.758377,315.111568
0.239,9.104177,16.558707,316.848835
0.24,8.943007,16.196637,316.70509
0.241,8.822225,16.159811,318.927265
0.242,8.66131,16.200188,318.604145
0.243,8.499884,15.83945,319.570896
0.244,8.540401,15.558136,321.002895
0.245,8.581045,15.60029,322.73048
0.246,8.459879,15.681933,324.483624
0.247,8.944158,15.723642,327.019566
0.248,8.66131,15.882935,329.235981
0.249,9.105457,15.885154,332.565662
0.25,9.145717,16.168242,333.837368
0.251,9.427925,16.208621,335.573185
0.252,9.710261,16.090594,337.1656
0.253,9.912716,16.489047,341.271023
0.254,10.114147,16.491265,344.600857
0.255,10.638687,16.572021,346.826588
0.256,11.082065,16.65189,352.209949
0.257,11.525955,17.014846,353.481022
0.258,12.050495,17.055224,357.751263
0.259,12.372963,17.537095,362.969505
0.26,12.695433,17.899165,367.253319
0.261,13.139451,18.17959,373.579178
0.262,13.825033,18.541216,377.37307
0.263,14.107625,18.90506,383.55394
0.264,14.874239,19.145552,389.879646
0.265,15.439039,19.427309,394.310516
0.266,15.842286,19.548442,401.268738
0.267,16.366697,19.8302,408.867348
0.268,17.173317,20.031201,415.985062
0.269,17.657724,19.911843,424.054771
0.27,18.141235,20.151448,432.280731
0.271,18.585381,20.152779,442.556427
0.272,19.351485,19.751663,450.9422
0.273,19.472778,19.388706,460.282326
0.274,20.077838,19.188149,469.920357
0.275,20.441207,18.628184,480.994156
0.276,20.965876,18.546542,494.287636
0.277,21.368994,17.984359,503.775536
0.278,21.570552,17.421288,515.321274
0.279,21.731979,17.100928,528.76207
0.28,21.772622,16.818283,540.464935
0.281,22.135609,16.176232,553.118675
0.282,22.135352,15.853653,568.296249
0.283,22.095092,15.532849,580.784355
0.284,22.256391,15.412159,594.545807
0.285,22.054704,15.169448,609.561279
0.286,22.175613,15.128627,624.096657
0.287,22.255879,15.247985,640.701141
0.288,21.933537,15.606947,655.716629
0.289,21.570425,16.04844,672.784683
0.29,21.247061,16.568914,688.433998
0.291,20.682132,17.167925,706.459152
0.292,20.601227,18.009646,722.577408
0.293,19.875257,18.930791,740.271057
0.294,19.75358,20.092872,756.863449
0.295,18.825922,21.577089,775.661026
0.296,18.502814,23.100795,792.729065
0.297,17.937502,24.745636,812.478546
0.298,17.412708,26.227189,828.913605
0.299,16.76713,27.752227,848.033524
0.3,16.040648,29.394403,866.517212
0.301,15.999876,31.119554,884.371323
0.302,15.43482,32.602884,903.014374
0.303,15.313526,34.16741,920.56105
0.304,14.95003,35.329937,938.098022
0.305,14.82848,36.653528,955.472733
0.306,14.828353,37.736185,971.440094
0.307,14.747191,38.455885,990.574905
0.308,14.706675,39.097492,1007.161896
0.309,14.746169,39.497278,1023.44368
0.31,14.82669,39.578033,1041.78299
0.311,14.705397,39.614859,1057.58194
0.312,14.826179,39.213299,1074.505096
0.313,14.78515,38.608965,1091.737381
0.314,15.34944,37.926535,1107.540237
0.315,15.066975,36.802612,1126.205612
0.316,14.865032,35.63698,1142.49118
0.317,15.146474,34.029413,1160.354797
0.318,14.622445,32.424063,1178.219208
0.319,14.621167,30.816493,1197.188751
0.32,14.258309,28.889009,1213.793533
0.321,13.894685,26.92159,1233.878021
0.322,13.208464,25.153842,1253.329529
0.323,12.683796,22.904222,1271.831253
0.324,11.957058,20.936803,1288.746765
0.325,11.755244,18.847806,1309.92926
0.326,10.503966,16.759253,1329.22171
0.327,9.979171,14.790504,1348.990356
0.328,9.45412,13.024086,1367.641968
0.329,8.445174,11.215515,1386.142761
0.33,7.839602,9.607502,1406.225464
0.331,7.476105,8.121955,1424.563843
0.332,6.426003,6.595142,1445.269928
0.333,5.981729,5.630512,1464.401886
0.334,5.456934,4.745306,1482.582367
0.335,4.931883,4.182679,1502.031342
0.336,4.648396,3.859212,1520.213989
0.337,4.48633,3.25532,1537.931061
0.338,4.041929,2.97445,1556.894379
0.339,4.081806,2.652315,1574.444489
0.34,3.919612,2.650983,1592.953033
0.341,4.120532,2.529406,1608.754822
0.342,4.119764,2.608387,1627.423401
0.343,4.360945,2.608387,1643.075562
0.344,4.521348,2.485478,1659.361664
0.345,4.762528,2.324854,1676.772461
0.346,4.922804,1.922851,1691.951782
0.347,5.124107,1.600716,1707.139008
0.348,5.486197,1.038533,1722.163208
0.349,5.727505,0.35566,1736.558807
0.35,5.565568,-0.487393,1749.380402
0.351,5.645449,-1.531891,1764.097687
0.352,5.725075,-2.615435,1777.069916
0.353,5.603271,-4.061493,1787.201233
0.354,5.642892,-5.506663,1798.91803
0.355,5.561347,-7.633817,1809.369537
0.356,5.439542,-9.120697,1819.346375
0.357,5.559813,-11.288673,1827.749634
0.358,5.800738,-13.213494,1837.099457
0.359,5.921136,-15.503492,1845.971649
0.36,6.041406,-17.911073,1854.68338
0.361,6.564923,-20.118983,1862.776886
0.362,6.968041,-22.365497,1869.749817
0.363,7.330387,-24.61334,1877.367157
0.364,7.975197,-26.900676,1883.860413
0.365,8.418703,-29.429834,1889.115143
0.366,9.18404,-31.876461,1893.881866
0.367,10.111314,-34.083927,1900.078278
0.368,11.199757,-36.290064,1906.115295
0.369,11.804563,-38.334686,1909.928192
0.37,12.893263,-40.622465,1912.330811
0.371,13.981836,-42.428373,1916.780487
0.372,15.151056,-44.874556,1920.138306
0.373,16.320278,-46.758556,1922.371552
0.374,17.005988,-48.804956,1925.719635
0.375,18.054428,-50.448908,1927.965149
