BioWare Version 5.3.2.9 Export,,,
Device:,Force Plate 2 9281CA (SN>616901),Force Plate 2 9281CA (SN>616901),Force Plate 2 9281CA (SN>616901)
Samples (#):,11987,11987,11987
Rate (Hz):,1000,1000,1000
Contact period start (sample #):,0,0,0
Contact period end (sample #):,11986,11986,11986
Contact period start time (s):,0,0,0
Contact period end time (s):,11.986,11.986,11.986
First sample time (s):,0,0,0
Normalized force (N):,800,800,800
Normalized length (m):,1,1,1
File Information,,,
Date,"Jun 20, 2019  10:26:37",,
Name,,,
ID,,,
Classification,,,
Description,,,
abs time (s),Fx,Fy,Fz
,N,N,N
0.193,7.101505,1.154935,705.152054
0.194,6.859429,1.195757,704.670784
0.195,6.859174,1.035133,703.722679
0.196,6.899818,1.154491,705.304306
0.197,7.060477,0.874509,704.046326
0.198,7.221775,1.034689,703.093132
0.199,7.100865,0.995199,704.047989
0.2,7.181387,0.956597,704.043396
0.201,7.38269,1.075067,704.358353
0.202,7.26178,0.955265,702.465714
0.203,7.463467,0.756039,702.300117
0.204,7.463211,0.714773,702.459785
0.205,7.382562,0.635793,703.570816
0.206,7.584121,0.755595,702.776344
0.207,7.584377,0.474725,702.307121
0.208,7.342685,0.274611,701.829659
0.209,7.584377,0.275943,702.306633
0.21,7.503344,0.115763,701.991745
0.211,7.381923,0.154809,699.459198
0.212,7.260885,0.075829,699.613441
0.213,7.019193,-0.005815,699.769279
0.214,7.220113,-0.083463,700.716568
0.215,7.018426,-0.126504,699.615448
0.216,6.8979,-0.204597,699.935455
0.217,6.655696,-0.364777,699.144119
0.218,6.655312,-0.243643,698.822517
0.219,6.534147,-0.244087,699.296394
0.22,6.614668,-0.243643,699.299019
0.221,6.372593,-0.243643,699.454056
0.222,6.49363,-0.243199,699.765068
0.223,6.211294,-0.484579,699.611183
0.224,6.009224,-0.483691,698.654427
0.225,5.88857,-0.483691,699.921265
0.226,5.848181,-0.564447,700.085976
0.227,5.84767,-0.403823,700.24028
0.228,5.847925,-0.524957,700.869034
0.229,5.847798,-0.281358,701.660851
0.23,5.68586,-0.121178,701.030312
0.231,5.322874,-0.20149,701.980843
0.232,5.40378,-0.322624,701.503548
0.233,5.282614,-0.241424,701.507622
0.234,5.484045,-0.402048,702.45314
0.235,5.161448,0.039445,702.9254
0.236,4.999894,-0.120291,704.185837
0.237,5.040155,-0.28047,704.346748
0.238,5.08016,-0.281358,703.244095
0.239,4.999511,-0.320404,705.455933
0.24,4.676786,-0.321736,704.973351
0.241,4.676786,-0.320404,704.82296
0.242,4.595881,-0.400272,706.254784
0.243,4.515232,-0.199271,705.770187
0.244,4.071213,-0.641208,707.036064
0.245,4.11173,-0.760566,707.668694
0.246,4.192124,-0.520518,706.080719
0.247,3.909787,-0.56134,707.511261
0.248,3.78875,-0.840434,709.401474
0.249,3.385248,-0.638989,709.407982
0.25,3.385631,-0.961124,707.6745
0.251,3.546674,-0.959793,708.140167
0.252,3.223949,-0.840434,707.984543
0.253,3.263954,-1.080482,708.772873
0.254,3.183433,-1.040104,709.412437
0.255,3.22331,-1.241994,709.725273
0.256,2.659149,-0.959793,710.828384
0.257,2.86058,-1.442552,709.095863
0.258,2.658382,-1.16035,711.457642
0.259,2.497467,-1.241549,710.205894
0.26,2.416563,-1.240662,710.038765
0.261,2.537728,-1.480266,710.516083
0.262,2.577605,-1.439888,711.466591
0.263,2.456695,-1.360021,711.152695
0.264,2.215131,-1.521088,712.254845
0.265,2.376174,-1.71987,712.721832
0.266,2.093966,-1.720315,712.724968
0.267,2.215003,-1.881826,712.09346
0.268,2.053194,-1.84056,712.254509
0.269,2.053066,-2.002071,712.734642
0.27,2.093709,-1.880494,712.578323
0.271,1.892151,-2.161364,712.267128
0.272,2.093709,-2.240788,711.791435
0.273,1.932284,-2.080608,713.520866
0.274,1.9728,-2.361034,714.002579
0.275,1.892151,-2.40008,713.060226
0.276,1.932028,-2.480392,714.165642
0.277,1.892151,-2.921885,712.736923
0.278,1.730469,-2.881507,713.367012
0.279,2.012805,-2.88062,714.467514
0.28,1.730469,-2.881064,713.371925
0.281,1.770857,-3.16149,714.312813
0.282,1.810862,-3.041687,714.159157
0.283,1.891639,-3.240026,713.687073
0.284,1.9319,-3.319894,712.898064
0.285,1.69008,-3.801765,714.480148
0.286,1.811246,-3.519121,712.894989
0.287,2.013061,-3.561274,714.170769
0.288,1.730469,-3.520896,712.274078
0.289,1.448516,-3.921567,713.218231
0.29,1.932284,-3.721454,713.693748
0.291,1.851762,-4.122125,712.909538
0.292,1.972544,-4.121237,711.798721
0.293,2.133842,-4.121681,712.592918
0.294,2.295141,-4.282305,713.700829
0.295,1.851762,-4.241039,712.75267
0.296,2.174359,-4.161615,713.699188
0.297,2.214875,-4.603108,712.280304
0.298,2.335785,-4.602221,712.595108
0.299,2.255264,-4.600889,713.225632
0.3,2.376046,-4.801891,713.545845
