BioWare Version 5.3.2.9 Export,,,
Device:,Force Plate 2 9281CA (SN>616901),Force Plate 2 9281CA (SN>616901),Force Plate 2 9281CA (SN>616901)
Samples (#):,12983,12983,12983
Rate (Hz):,1000,1000,1000
Contact period start (sample #):,0,0,0
Contact period end (sample #):,12982,12982,12982
Contact period start time (s):,0,0,0
Contact period end time (s):,12.982,12.982,12.982
First sample time (s):,0,0,0
Normalized force (N):,800,800,800
Normalized length (m):,1,1,1
File Information,,,
Date,"Jun 20, 2019  10:25:05",,
Name,,,
ID,,,
Classification,,,
Description,,,
abs time (s),Fx,Fy,Fz
,N,N,N
0.611,3.110989,1.889542,620.960602
0.612,2.989951,1.930807,618.271324
0.613,2.82942,2.130921,618.113998
0.614,2.990335,2.171299,614.790016
0.615,2.910453,2.130921,612.732758
0.616,3.192533,2.292432,611.299255
0.617,2.991102,2.411346,609.565445
0.618,3.273311,2.772528,608.601784
0.619,3.072135,2.572858,606.071953
0.62,3.193173,3.013907,604.486694
0.621,3.273566,3.093332,600.534081
0.622,2.99187,3.294333,599.42205
0.623,3.475637,3.535269,597.521927
0.624,3.354855,3.774873,595.776085
0.625,3.27395,4.135611,593.864967
0.626,3.112524,4.096121,591.805565
0.627,3.314722,4.536726,589.12072
0.628,3.234073,5.058088,587.689209
0.629,3.274334,5.136624,585.939262
0.63,3.274334,5.619383,583.881302
0.631,3.314978,6.021386,581.663452
0.632,3.314594,6.339527,579.434135
0.633,3.072647,6.337308,577.540047
0.634,3.354855,6.86,575.47438
0.635,3.15368,7.46123,574.20591
0.636,3.273822,7.38003,571.515434
0.637,3.031874,8.101062,570.871948
0.638,3.233434,8.461356,568.968193
0.639,3.071879,9.223209,568.486313
0.64,3.394604,9.824439,568.639168
0.641,3.273311,10.183845,565.948227
0.642,3.475381,10.945698,566.567131
0.643,3.152529,11.225681,566.413391
0.644,3.394604,11.747042,565.772728
0.645,3.515642,12.267515,566.39888
0.646,3.354216,12.828811,565.281151
0.647,3.51513,13.43004,564.972939
0.648,3.273438,13.629267,565.905388
0.649,3.63604,14.472763,565.900475
0.65,3.555647,14.912481,565.42643
0.651,3.635912,15.594466,567.798515
0.652,3.433842,16.114496,567.162064
0.653,3.555135,16.556433,568.103157
0.654,3.393837,17.19804,567.788696
0.655,3.192022,17.679024,571.415268
